FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
18-339	Chicken, wing quarter, roasted, meat and skin	Chicken, wing quarter, roasted, meat and skin	A0715 A0795 B1457 C0267 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003 Z0019 Z0157	
18-340	Chicken, wing quarter, roasted, meat and skin, weighed with bone	Chicken, wing quarter, roasted, meat and skin, weighed with bone	A0715 A0795 B1457 C0267 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003 Z0019 Z0157	
13-226	Chicory, boiled in salted water	Chicory, boiled in salted water		
13-225	Chicory, raw	Chicory, raw	A0705 A0826 B1552 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-079	Chilli beans, canned, re-heated	Chilli beans, canned, re-heated		
19-207	Chilli con carne, canned	Chilli con carne, canned		
19-208	Chilli con carne, chilled/frozen, reheated	Chilli con carne, chilled/frozen, reheated		
19-209	Chilli con carne, chilled/frozen, reheated, with rice	Chilli con carne, chilled/frozen, reheated, with rice	A0714 A0799 B1322 C0132 E0108 F0014 G0015 G0037 H0151 H0191 H0212 H0241 J0136 K0003 M0001 N0001 P0024	
19-337	Chilli con carne, homemade	Chilli con carne, homemade	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0026 H0117 H0212 J0003 K0003 M0003 N0001 P0024 Z0109	
13-812	Chilli powder	Chilli powder	A0722 A0857 B1643 C0140 E0106 F0001 G0003 H0138 H0151 J0116 K0003 M0001 N0001 P0024	
17-294	Chilli sauce	Chilli sauce		
15-439	Chilli, bean and lentil	Chilli, bean and lentil		
15-440	Chilli, Quorn	Chilli, Quorn		
15-370	Chilli, vegetable, homemade	Chilli, vegetable, homemade	A0705 A0828 B1659 C0133 E0110 F0014 G0001 H0151 H0212 J0003 K0003 M0001 N0001 P0024 Z0109	
15-074	Chilli, vegetable, retail	Chilli, vegetable, retail		
13-813	Chinese 5 spice	Chinese 5 spice	A0722 A0857 B1179 C0174 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-194	Chinese cakes and biscuits	Chinese cakes and biscuits		
11-338	Chinese flaky pastries	Chinese flaky pastries		
16-010	Chinese salted fish, steamed	Chinese salted fish, steamed		
13-024	Chips, crinkle cut, frozen, fried in corn oil	Chips, crinkle cut, frozen, fried in corn oil		
50-684	Chips, fine cut, frozen, fried in blended oil	Chips, fine cut, frozen, fried in blended oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0334 J0136 K0003 M0001 N0001 P0024 Z0112	
13-026	Chips, fine cut, frozen, fried in corn oil	Chips, fine cut, frozen, fried in corn oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0334 J0136 K0003 M0001 N0001 P0024 Z0112	
50-686	Chips, fine cut, frozen, fried in dripping	Chips, fine cut, frozen, fried in dripping	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0335 J0136 K0003 M0001 N0001 P0024 Z0112	
13-423	Chips, French fries, retail	Chips, French fries, retail	A0706 A0829 B1218 C0240 E0141 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0119	
13-407	Chips, homemade, fried in blended oil	Chips, homemade, fried in blended oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0109	
13-021	Chips, homemade, fried in corn oil	Chips, homemade, fried in corn oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0109	
13-406	Chips, homemade, fried in dripping	Chips, homemade, fried in dripping	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0335 J0001 K0003 M0001 N0001 P0024 Z0109	
13-408	Chips, homemade, fried in sunflower oil	Chips, homemade, fried in sunflower oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0109	
13-028	Chips, microwave, cooked	Chips, microwave, cooked	A0706 A0829 B1218 C0240 E0152 F0014 G0011 H0233 H0241 J0136 K0003 M0001 N0001 P0024 Z0112	
13-029	Chips, oven, frozen, baked	Chips, oven, frozen, baked	A0706 A0829 B1218 C0240 E0152 F0014 G0005 H0233 H0241 J0136 K0003 M0001 N0001 P0024 Z0112	
50-677	Chips, retail, fried in blended oil	Chips, retail, fried in blended oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0119	
13-410	Chips, retail, fried in corn oil	Chips, retail, fried in corn oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0119	
13-409	Chips, retail, fried in dripping	Chips, retail, fried in dripping	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0335 J0001 K0003 M0001 N0001 P0024 Z0119	
13-411	Chips, retail, fried in sunflower oil	Chips, retail, fried in sunflower oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0119	
13-422	Chips, retail, fried in vegetable oil	Chips, retail, fried in vegetable oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0334 J0001 K0003 M0001 N0001 P0024 Z0119	
50-681	Chips, straight cut, frozen, fried in blended oil	Chips, straight cut, frozen, fried in blended oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0334 J0136 K0003 M0001 N0001 P0024 Z0112	
13-025	Chips, straight cut, frozen, fried in corn oil	Chips, straight cut, frozen, fried in corn oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0334 J0136 K0003 M0001 N0001 P0024 Z0112	
50-683	Chips, straight cut, frozen, fried in dripping	Chips, straight cut, frozen, fried in dripping	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0335 J0136 K0003 M0001 N0001 P0024 Z0112	
13-027	Chips, thick cut, frozen, fried in corn oil	Chips, thick cut, frozen, fried in corn oil	A0706 A0829 B1218 C0240 E0152 F0014 G0029 H0241 H0334 J0136 K0003 M0001 N0001 P0024 Z0112	
16-011	Chital, raw	Chital, raw		
13-814	Chives, fresh	Chives, fresh		
15-441	Cho cho fritters, fried in vegetable oil	Cho cho fritters, fried in vegetable oil		
13-228	Cho cho, boiled in unsalted water	Cho cho, boiled in unsalted water		
13-227	Cho cho, raw	Cho cho, raw		
12-384	Choc ice	Choc ice	A0721 A0789 B1201 C0235 E0105 F0018 G0003 H0150 H0158 H0178 H0227 H0231 H0263 H0355 J0135 J0136 K0003 M0211 N0001 P0024 R0001	
11-507	Chocolate biscuits, cream filled, full coated	Chocolate biscuits, cream filled, full coated	A0695 A0821 B1201 C0235 E0105 F0014 G0003 H0136 H0231 H0263 H0319 H0351 H0355 J0001 K0003 M0001 N0001 P0024 R0001	
11-506	Chocolate biscuits, full coated	Chocolate biscuits, full coated	A0695 A0821 B1201 C0235 E0140 F0014 G0003 H0136 H0231 H0263 H0319 H0351 H0355 J0001 K0003 M0001 N0001 P0024 R0001	
11-641	Chocolate cake	Chocolate cake		
11-642	Chocolate cake, with butter icing	Chocolate cake, with butter icing		
11-508	Chocolate chip cookies	Chocolate chip cookies	A0695 A0821 B1312 C0132 E0140 F0014 G0003 H0136 H0227 H0231 H0263 H0351 J0001 K0003 M0001 N0001 P0024 R0001	
17-084	Chocolate covered bar with fruit/nut wafer/biscuit	Chocolate covered bar with fruit/nut wafer/biscuit		
17-492	Chocolate covered caramels	Chocolate covered caramels	A0699 A0839 B1201 C0113 E0147 F0014 G0003 H0136 H0207 H0227 H0231 H0263 H0355 J0001 K0003 M0173 N0001 P0024 R0001	
11-419	Chocolate covered marshmallow teacake	Chocolate covered marshmallow teacake		
11-418	Chocolate cup cake	Chocolate cup cake		
12-398	Chocolate dairy desserts	Chocolate dairy desserts	A0721 A0864 B1201 C0113 E0119 F0001 G0003 H0158 H0231 J0131 K0003 M0172 N0001 P0024 R0001	
11-527	Chocolate fudge cake	Chocolate fudge cake	A0695 A0821 B1012 C0108 E0105 F0014 G0003 H0150 H0186 H0221 H0231 H0319 H0351 H0355 J0003 K0003 M0001 N0001 P0024 R0001	
17-070	Chocolate nut spread	Chocolate nut spread	A0698 A0839 B1012 C0108 E0134 F0022 G0003 H0177 H0231 H0263 H0297 H0306 J0001 K0003 M0001 N0001 P0024 R0001	
12-411	Chocolate nut sundae	Chocolate nut sundae	A0721 A0864 B1201 C0235 E0134 F0018 G0003 H0177 H0178 H0231 H0296 J0135 J0136 K0003 M0001 N0001 P0024 R0001	
17-069	Chocolate spread	Chocolate spread	A0698 A0839 B1012 C0108 E0119 F0022 G0003 H0231 H0263 H0297 H0306 J0001 K0003 M0001 N0001 P0024 R0001	
17-086	Chocolate, cooking	Chocolate, cooking		
17-453	Chocolate, couverture	Chocolate, couverture		
17-087	Chocolate, diabetic	Chocolate, diabetic		
17-088	Chocolate, fancy and filled	Chocolate, fancy and filled	A0699 A0839 B1201 C0113 E0147 F0014 G0003 H0136 H0207 H0227 H0231 H0263 H0355 J0001 K0003 M0173 N0001 P0024 R0001	
17-089	Chocolate, milk	Chocolate, milk	A0699 A0839 B1012 C0108 E0147 F0014 G0003 H0227 H0231 H0263 H0297 J0001 K0003 M0173 N0001 P0024 R0001	
17-491	Chocolate, plain	Chocolate, plain	A0699 A0839 B1318 C0228 E0147 F0014 G0003 H0136 H0227 J0001 K0003 M0173 N0001 P0024 R0001	
17-091	Chocolate, white	Chocolate, white	A0699 A0839 B1012 C0108 E0147 F0014 G0003 H0227 H0231 H0263 H0297 J0001 K0003 M0173 N0001 P0024 R0001	
19-099	Chorizo	Chorizo		
11-653	Choux buns	Choux buns		
11-652	Choux pastry, cooked	Choux pastry, cooked		
11-651	Choux pastry, raw	Choux pastry, raw		
11-692	Christmas pudding, homemade	Christmas pudding, homemade		
11-291	Christmas pudding, retail	Christmas pudding, retail	A0695 A0864 B1140 C0167 E0146 F0014 G0001 H0151 H0158 H0160 H0186 H0221 H0319 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
17-531	Chutney, apple,  homemade	Chutney, apple,  homemade	A0722 A0860 B1245 C0229 E0134 F0014 G0003 H0151 H0158 H0200 H0349 J0001 K0003 M0001 N0001 P0024 R0001	
17-342	Chutney, mango, oily	Chutney, mango, oily	A0722 A0860 B1270 C0167 E0144 F0014 G0003 H0151 H0158 H0200 J0001 K0003 M0001 N0001 P0024 R0001	
17-343	Chutney, mango, sweet	Chutney, mango, sweet		
17-344	Chutney, mixed fruit	Chutney, mixed fruit		
17-345	Chutney, tomato	Chutney, tomato	A0722 A0860 B1276 C0229 E0144 F0014 G0003 H0151 H0158 H0200 J0001 K0003 M0001 N0001 P0024 R0001	
17-615	Chutney, tomato, homemade	Chutney, tomato, homemade		
11-609	Ciabatta	Ciabatta	A0691 A0817 B1312 C0132 E0105 F0014 G0003 H0256 H0259 H0341 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
17-222	Cider, dry	Cider, dry	A0713 A0848 B1245 C0167 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
17-223	Cider, low alcohol	Cider, low alcohol	A0713 A0848 B1245 C0167 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0287 H0753 J0104 K0003 M0001 N0001 P0024	
17-224	Cider, sweet	Cider, sweet	A0713 A0848 B1245 C0167 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
17-225	Cider, vintage	Cider, vintage	A0713 A0848 B1245 C0167 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
13-815	Cinnamon, ground	Cinnamon, ground	A0722 A0857 B1472 C0264 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
16-251	Clams, canned in brine, drained	Clams, canned in brine, drained		
14-291	Clementines	Clementines	A0707 A0833 B1751 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-072	Clementines, weighed with peel and pips	Clementines, weighed with peel and pips	A0707 A0833 B1751 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-816	Cloves, dried	Cloves, dried		
13-080	Cluster beans, raw	Cluster beans, raw		
11-487	Clusters	Clusters	A0692 A0816 B1312 C0133 E0140 F0014 G0003 H0136 H0138 H0162 H0181 H0194 H0215 H0216 H0309 H0310 H0311 H0367 J0116 K0003 M0155 N0001 P0024 R0001	
16-252	Cockles, boiled	Cockles, boiled	A0717 A0802 B1317 C0173 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024	
16-253	Cockles, bottled in vinegar, drained	Cockles, bottled in vinegar, drained		
15-442	Coco fritters, fried in vegetable oil	Coco fritters, fried in vegetable oil		
11-488	Coco Pops	Coco Pops	A0692 A0816 B1322 C0155 E0140 F0014 G0003 H0130 H0138 H0158 H0162 H0181 H0194 H0216 H0231 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
17-002	Cocoa butter	Cocoa butter		
17-003	Cocoa butter alternative	Cocoa butter alternative		
12-082	Cocoa powder	Cocoa powder	A0710 A0845 B1318 C0228 E0106 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0089	
12-437	Cocoa powder, made up with semi-skimmed milk	Cocoa powder, made up with semi-skimmed milk		
12-438	Cocoa powder, made up with skimmed milk	Cocoa powder, made up with skimmed milk		
12-436	Cocoa powder, made up with whole milk	Cocoa powder, made up with whole milk	A0709 A0845 B1201 C0235 E0123 F0014 G0003 H0231 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
11-643	Coconut cake	Coconut cake		
14-819	Coconut cream	Coconut cream		
17-589	Coconut ice	Coconut ice		
14-820	Coconut milk	Coconut milk	A0703 A0824 B1536 C0214 E0139 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-031	Coconut oil	Coconut oil	A0700 A0806 B1536 C0190 E0119 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
14-872	Coconut, creamed block	Coconut, creamed block	A0703 A0824 B1536 C0208 E0119 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-873	Coconut, desiccated	Coconut, desiccated	A0703 A0824 B1536 C0208 E0100 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024 Z0052	
14-816	Coconut, fresh	Coconut, fresh		
17-488	Cod liver oil	Cod liver oil	A0702 A0811 B1842 C0301 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
16-013	Cod, baked	Cod, baked	A0717 A0802 B1423 C0268 E0122 F0014 G0005 H0271 J0001 K0003 M0001 N0001 P0024 Z0061	
16-014	Cod, baked, weighed with bones and skin	Cod, baked, weighed with bones and skin	A0717 A0802 B1423 C0268 E0122 F0014 G0005 H0271 J0001 K0003 M0001 N0001 P0024 Z0061	
16-025	Cod, coated in batter, frozen, baked	Cod, coated in batter, frozen, baked		
16-026	Cod, coated in batter, frozen, baked, weighed with bones	Cod, coated in batter, frozen, baked, weighed with bones		
16-027	Cod, coated in crumbs, frozen, fried in blended oil	Cod, coated in crumbs, frozen, fried in blended oil	A0717 A0803 B1842 C0268 E0122 F0014 G0025 H0188 H0241 H0334 H0356 J0001 K0003 M0001 N0001 P0024 Z0061	
50-572	Cod, dried, salted, boiled	Cod, dried, salted, boiled	A0717 A0803 B1842 C0268 E0122 F0014 G0014 H0173 H0259 J0103 J0116 K0003 M0001 N0001 P0024 Z0061	
16-020	Cod, frozen, grilled	Cod, frozen, grilled	A0717 A0802 B1842 C0268 E0122 F0014 G0006 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-019	Cod, frozen, raw	Cod, frozen, raw	A0717 A0802 B1842 C0268 E0122 F0003 G0003 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-021	Cod, in batter, fried in blended oil	Cod, in batter, fried in blended oil	A0717 A0803 B1842 C0268 E0122 F0014 G0029 H0188 H0334 H0356 J0001 K0003 M0001 N0001 P0024 Z0061	
16-022	Cod, in batter, fried in dripping	Cod, in batter, fried in dripping	A0717 A0803 B1842 C0268 E0122 F0014 G0029 H0188 H0335 H0356 J0001 K0003 M0001 N0001 P0024 Z0061	
16-023	Cod, in batter, fried in retail blend oil	Cod, in batter, fried in retail blend oil		
16-024	Cod, in batter, fried in sunflower oil	Cod, in batter, fried in sunflower oil		
16-030	Cod, in parsley sauce, frozen, boiled	Cod, in parsley sauce, frozen, boiled	A0717 A0804 B1842 C0268 E0122 F0014 G0040 H0241 J0136 K0003 M0001 N0001 P0024 Z0061 Z0112	
16-015	Cod, poached	Cod, poached	A0717 A0802 B1842 C0268 E0122 F0014 G0020 H0184 H0271 J0001 K0003 M0001 N0001 P0024 Z0061	
16-016	Cod, poached, weighed with bones and skin	Cod, poached, weighed with bones and skin	A0717 A0802 B1842 C0268 E0122 F0014 G0020 H0184 H0271 J0001 K0003 M0001 N0001 P0024 Z0061	
16-012	Cod, raw	Cod, raw	A0717 A0802 B1842 C0125 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
16-029	Cod, smoked, poached	Cod, smoked, poached		
16-028	Cod, smoked, raw	Cod, smoked, raw		
16-017	Cod, steamed	Cod, steamed		
16-018	Cod, steamed, weighed with bones and skin	Cod, steamed, weighed with bones and skin		
17-545	Coffee and chicory essence	Coffee and chicory essence	A0710 A0845 B1305 C0132 E0102 F0014 G0001 H0136 H0229 J0001 K0003 M0001 N0001 P0024 R0001 Z0091	
17-163	Coffee and chicory essence, with water	Coffee and chicory essence, with water		
12-026	Coffee Compliment	Coffee Compliment		
12-887	Coffee compliment, low fat	Coffee compliment, low fat		
12-888	Coffee whitener liquid, with skimmed milk and non milk fat	Coffee whitener liquid, with skimmed milk and non milk fat		
12-889	Coffee whitener with glucose syrup and vegetable fat	Coffee whitener with glucose syrup and vegetable fat		
17-152	Coffee, infusion, average	Coffee, infusion, average	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-157	Coffee, infusion, average, with semi-skimmed milk	Coffee, infusion, average, with semi-skimmed milk	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0184 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-155	Coffee, infusion, average, with single cream	Coffee, infusion, average, with single cream	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0259 H0296 J0001 K0003 M0001 N0001 P0024 R0001	
17-156	Coffee, infusion, average, with whole milk	Coffee, infusion, average, with whole milk	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0184 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-153	Coffee, infusion, strong	Coffee, infusion, strong	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-154	Coffee, infusion, weak	Coffee, infusion, weak	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-158	Coffee, instant	Coffee, instant	A0710 A0845 B1305 C0132 E0136 F0014 G0005 H0138 H0169 J0116 K0003 M0215 N0001 P0024 R0001 Z0089	
17-159	Coffee, instant, made up with water	Coffee, instant, made up with water	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-161	Coffee, instant, made up with water and semi-skimmed milk	Coffee, instant, made up with water and semi-skimmed milk	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0184 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-160	Coffee, instant, made up with water and whole milk	Coffee, instant, made up with water and whole milk	A0710 A0845 B1305 C0132 E0123 F0014 G0001 H0184 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
17-594	Coffee, Irish	Coffee, Irish		
12-027	Coffeemate	Coffeemate	A0722 A0788 B1379 C0271 E0136 F0001 G0003 H0117 H0150 H0169 H0263 J0116 K0003 M0001 N0001 P0024 R0001	
17-175	Cola	Cola	A0709 A0843 B1217 C0005 E0123 F0003 G0003 H0109 H0136 H0150 H0200 H0227 J0001 K0003 M0194 N0001 P0024	
17-505	Cola, diet	Cola, diet	A0709 A0843 B1217 C0005 E0123 F0003 G0003 H0108 H0109 H0150 H0200 H0227 J0001 K0003 M0194 N0001 P0024 P0033	
13-229	Cole leaves, dried, boiled in unsalted water	Cole leaves, dried, boiled in unsalted water		
15-077	Coleslaw, with mayonnaise, retail	Coleslaw, with mayonnaise, retail	A0705 A0827 B1406 C0151 E0134 F0014 G0003 H0200 H0212 H0263 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
15-078	Coleslaw, with reduced calorie dressing, retail	Coleslaw, with reduced calorie dressing, retail	A0705 A0827 B1406 C0151 E0134 F0001 G0003 H0200 H0212 H0263 J0001 K0003 M0001 N0001 P0024 P0040 R0001 Z0112	
15-079	Coleslaw, with vinaigrette, retail	Coleslaw, with vinaigrette, retail		
16-034	Coley, frozen, raw	Coley, frozen, raw	A0717 A0802 B1440 C0268 E0122 F0003 G0003 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-031	Coley, raw	Coley, raw	A0717 A0802 B1440 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
16-340	Coley, steamed	Coley, steamed	A0717 A0802 B1440 C0267 E0122 F0014 G0021 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
16-341	Coley, steamed, weighed with bones and skin	Coley, steamed, weighed with bones and skin	A0717 A0802 B1440 C0268 E0122 F0014 G0021 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
17-540	Complan powder, original and sweet	Complan powder, original and sweet	A0723 A0869 B1201 C0235 E0136 F0001 G0003 H0136 H0138 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0263 H0273 H0309 H0310 H0311 H0315 H0316 J0116 K0003 M0001 N0001 P0024 R0001 Z0089	
17-541	Complan powder, savoury	Complan powder, savoury	A0723 A0869 B1009 C0282 E0136 F0001 G0003 H0136 H0138 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0263 H0273 H0309 H0310 H0311 H0316 H0748 J0116 K0003 M0001 N0001 P0024 R0001 Z0089	
12-439	Complan powder, savoury, made up with water	Complan powder, savoury, made up with water	A0723 A0869 B1009 C0282 E0109 F0001 G0003 H0136 H0138 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0259 H0263 H0273 H0309 H0310 H0311 H0316 H0748 J0001 K0003 M0001 N0001 P0024 R0001	
12-440	Complan powder, sweet, made up with water	Complan powder, sweet, made up with water	A0723 A0869 B1201 C0235 E0109 F0001 G0003 H0136 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0259 H0263 H0273 H0309 H0310 H0311 H0315 H0316 J0001 K0003 M0001 N0001 P0024 R0001	
12-442	Complan, sweet, made up with semi-skimmed milk	Complan, sweet, made up with semi-skimmed milk	A0723 A0869 B1201 C0235 E0109 F0001 G0003 H0136 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0259 H0263 H0273 H0309 H0310 H0311 H0315 H0316 H0324 J0001 K0003 M0001 N0001 P0024 R0001	
12-443	Complan, sweet, made up with skimmed milk	Complan, sweet, made up with skimmed milk	A0723 A0869 B1201 C0235 E0109 F0001 G0003 H0136 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0259 H0263 H0273 H0309 H0310 H0311 H0315 H0316 H0324 J0001 K0003 M0001 N0001 P0024 R0001	
12-441	Complan, sweet, made up with whole milk	Complan, sweet, made up with whole milk	A0723 A0869 B1201 C0235 E0109 F0001 G0003 H0136 H0159 H0163 H0181 H0189 H0195 H0214 H0215 H0216 H0217 H0227 H0259 H0263 H0273 H0309 H0310 H0311 H0315 H0316 H0324 J0001 K0003 M0001 N0001 P0024 R0001	
17-004	Compound cooking fat	Compound cooking fat	A0701 A0807 B1017 C0190 E0119 F0014 G0003 H0174 J0001 K0003 M0001 N0001 P0024	
17-005	Compound cooking fat, polyunsaturated	Compound cooking fat, polyunsaturated	A0701 A0807 B1017 C0190 E0119 F0014 G0003 H0174 J0001 K0003 M0001 N0001 P0024 P0071	
12-028	Condensed milk, skimmed, sweetened	Condensed milk, skimmed, sweetened	A0719 A0781 B1201 C0235 E0139 F0014 G0003 H0138 H0158 H0248 J0001 K0003 M0204 N0001 P0024 R0001	
12-029	Condensed milk, whole, sweetened	Condensed milk, whole, sweetened	A0719 A0781 B1201 C0235 E0139 F0014 G0003 H0138 H0158 J0001 K0003 M0204 N0001 P0024 R0001	
16-036	Conger eel, grilled	Conger eel, grilled	A0717 A0802 B2299 C0268 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-037	Conger eel, grilled, weighed with bones and skin	Conger eel, grilled, weighed with bones and skin	A0717 A0802 B2299 C0268 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-035	Conger eel, raw	Conger eel, raw	A0717 A0802 B2299 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-255	Consomme	Consomme		
15-443	Coo-coo	Coo-coo		
17-295	Cook-in-sauces, canned	Cook-in-sauces, canned	A0722 A0862 B0001 C0001 E0102 F0014 G0001 H0001 J0123 K0003 M0204 N0001 P0024 R0001	
19-338	Coq au vin	Coq au vin	A0715 A0799 B1457 C0125 E0110 F0014 G0020 G0026 H0151 H0160 H0166 H0212 J0003 K0003 M0003 N0001 P0024 R0001	
19-417	Coq au vin, weighed with bone	Coq au vin, weighed with bone	A0715 A0799 B1457 C0125 E0110 F0014 G0020 G0026 H0151 H0160 H0166 H0212 J0003 K0003 M0003 N0001 P0024 R0001	
13-818	Coriander leaves, dried	Coriander leaves, dried		
13-817	Coriander leaves, fresh	Coriander leaves, fresh		
13-819	Coriander seeds	Coriander seeds		
17-126	Corn and starch snacks	Corn and starch snacks		
11-490	Corn Flakes	Corn Flakes	A0692 A0816 B1379 C0155 E0153 F0014 G0003 H0136 H0138 H0181 H0194 H0216 H0274 H0309 H0310 H0311 H0367 J0116 K0003 M0155 N0001 P0024 R0001	
15-444	Corn fritters, fried in vegetable oil	Corn fritters, fried in vegetable oil		
17-033	Corn oil	Corn oil	A0700 A0806 B1379 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
15-445	Corn pudding	Corn pudding		
17-125	Corn snacks	Corn snacks	A0722 A0868 B1379 C0132 E0147 F0014 G0003 H0117 H0138 H0263 J0001 K0003 M0001 N0001 P0024 R0001	
19-389	Corned beef hash	Corned beef hash		
19-128	Corned beef, canned	Corned beef, canned	A0714 A0797 B1161 C0267 E0151 F0014 G0003 H0117 H0253 J0123 K0003 M0204 N0001 P0024 Z0020 Z0112	
12-386	Cornetto type ice cream cone	Cornetto type ice cream cone	A0721 A0789 B1201 C0235 E0151 F0018 G0003 H0150 H0158 H0177 H0178 H0227 H0231 H0296 J0135 J0136 K0003 M0211 N0001 P0024 R0001	
11-435	Cornflour	Cornflour	A0693 A0813 B1379 C0132 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
19-360	Cornish pastie, homemade	Cornish pastie, homemade		
19-316	Cornish pastie, retail	Cornish pastie, retail	A0714 A0799 B1312 C0132 E0147 F0014 G0001 H0117 H0186 H0191 H0207 H0212 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
11-407	Cornish wafers	Cornish wafers		
11-011	Cornmeal, sifted	Cornmeal, sifted		
11-012	Cornmeal, unsifted	Cornmeal, unsifted		
